tourlist_name,addr,rates,visitors,reviews
국립세종수목원,세종특별자치시 연기면 수목원로 136,,,
국립속리산말티재자연휴양림(속리산말티재자연휴양림),충청북도 보은군 장안면 속리산로 256,,,
국립수목원(광릉숲),경기도 포천시 광릉수목원로 415,,,
국립신시도자연휴양림,전라북도 군산시 옥도면 신시도길 271,,,
국립신암선열공원,대구광역시 동구 동북로71길 33,,,
국립아세안자연휴양림,경기도 양주시 백석읍 기산로 472,,,
국립양평치유의숲,경기도 양평군 양동면 황거길 262-10,,,
국립영천호국원,경상북도 영천시 고경면 호국로 1720,,,
국립예산치유의숲,충청남도 예산군 치유숲길 203-31,,,
국립임실호국원,전라북도 임실군 강진면 호국로 420,,,
국립장성숲체원,전라남도 장성군 방장로 353 방장산자연휴양림관리사무소,,,
국립장성치유의숲,전라남도 장성군 서삼면 추암로 716,,,
국립제천치유의숲,충청북도 제천시 청풍면 학현소야로 590,,,
국립진도자연휴양림,전라남도 진도군 임회면 동령개길 1-92,,,
국립청도숲체원,경상북도 청도군 운문로 755 국립청도숲체원,,,
국립청소년우주센터,전라남도 고흥군 동일면 덕흥양쪽길 200,,,
국립축산과학원 한우연구소,강원특별자치도 평창군 대관령면 경강로 4937,,,
국립춘천숲체원,강원특별자치도 춘천시 신북읍 장본2길 331,,,
국립칠곡숲체원,경상북도 칠곡군 석적읍 유학로 532,,,
국립횡성숲체원,강원특별자치도 횡성군 둔내면 청태산로 777,,,
국망봉자연휴양림(포천),경기도 포천시 이동면 늠바위길 207-28,,,
국민의 숲 트레킹 코스,강원특별자치도 평창군 대관령마루길 340,,,
국민힐링파크,경상북도 경주시 문복로 1280-8,,,
국사봉(거제),경상남도 거제시 수월동,,,
국사봉(순창),전라북도 순창군 쌍치면 국사봉로 308-75,,,
국사봉(인천),인천광역시 중구 무의동,,,
국사봉전망대,전라북도 임실군 운암면 국사봉로 512,,,
국사암,경기도 안성시 삼죽면 텃골길 80-100,,,
국사암,경상남도 하동군 화개면 목압길 104,,,
국산서원,경상남도 고성군 동해면 외곡1길 151-44,,,
"국수바위 (울릉도,독도 국가지질공원)",경상북도 울릉군 울릉읍 도동리,,,
국순당 주향로,강원특별자치도 횡성군 둔내면 강변로 975,,,
국악사랑,서울특별시 종로구 북촌로11길 35-16,,,
국악의 성지,전라북도 남원시 운봉읍 비전길 69,,,
국우동 탱자나무,대구광역시 북구 도남길 45-7,,,
국자와 주걱,인천광역시 강화군 양도면 강화남로428번길 46-27,,,
국제 롤러스케이트장,인천광역시 서구 청라에메랄드로 99,,,
국제선센터,서울특별시 양천구 목동동로 167,,,
국제시장 먹자골목,부산광역시 중구 중구로 36,,,
국제음식문화거리(INTERNATIONAL FOOD STREET),서울특별시 구로구 새말로 102,,,
국제크루즈터미널,부산광역시 영도구 해양로301번길 17,,,
국제평화아트파크,강원특별자치도 화천군 화천읍 평화로 3518,,,
국지산,강원특별자치도 영월군 남면 국지골길,,,
국채보상운동기념공원,대구광역시 중구 공평로10길 25 대구광역시립중앙도서관,,,
국청사(경기),경기도 광주시 남한산성면 남한산성로780번길 105,,,
국청사(부산),부산광역시 금정구 북문로 42,,,
국토정중앙천문대,"강원특별자치도 양구군 국토정중앙면 국토정중앙로 (127, 국토정중앙)",,,
국형사,강원특별자치도 원주시 고문골길 155,,,
국화 황토 참숯 불가마 찜질,충청북도 청주시 상당구 낭성면 호정전하울길 99-46,,,
국화도,경기도 화성시 우정읍 국화길 8,,,
국회의사당,서울특별시 영등포구 의사당대로 1,,,
군남홍수조절지 두루미테마파크,경기도 연천군 군남면,,,
군산 3.1운동 100주년 기념관,전라북도 군산시 영명길 29,,,
군산 개정면 구 일본인농장 창고,전라북도 군산시 개정면 바르메길 53-5,,,
군산 말랭이마을,전라북도 군산시 신흥동,,,
군산 발산리 석등,전라북도 군산시 개정면 바르메길 43,,,
군산 발산리 오층석탑,전라북도 군산시 개정면 바르메길 43,,,
군산 부윤관사,전라북도 군산시 월명로 493 (월명동),,,
군산 시간여행마을,전라북도 군산시 내항1길 8,,,
군산 신흥동 일본식가옥(히로쓰 가옥),전라북도 군산시 구영1길 17,,,
군산 영화의 거리,전라북도 군산시 구영6길 60 (신창동),,,
군산 임피역사,전라북도 군산시 임피면 서원석곡로 37,,,
군산 주 제일사료주식회사 공장,전라북도 군산시 해망로 196 (장미동),,,
군산 해망굴,전라북도 군산시 군산창2길 48,,,
군산선유도유람선,전라북도 군산시 옥도면 선유북길 37,,,
군산어린이교통공원,전라북도 군산시 동장산로 135 (소룡동),,,
군산오름,제주특별자치도 서귀포시 안덕면 창천리,,,
군산항,전라북도 군산시 소룡동,,,
군산호수 둘레길,전라북도 군산시 옥산면 옥산신성길 50,,,
군위 대율리 석조여래입상,대구광역시 군위군 부계면 한밤8길 21-1,,,
군위 불로리 마애보살입상,대구광역시 군위군 효령면,,,
군위 삼국유사 테마파크,대구광역시 군위군 의흥면 일연테마로 100,,,
군위 상매댁,대구광역시 군위군 부계면 한밤5길 19,,,
군위 아미타여래삼존 석굴,대구광역시 군위군 부계면 남산4길 24,,,
군위 인각사지,대구광역시 군위군 고로면 삼국유사로 250,,,
군위 장곡자연휴양림,대구광역시 군위군 고로면 장곡휴양림길 195,,,
군위 팔공산능금마을,대구광역시 군위군 부계면 동산2길 37,,,
군위 화산산성 전망대,대구광역시 군위군 고로면 화산길 619-26,,,
군위대율리대청,대구광역시 군위군 부계면 한밤5길 23-3,,,
군위향교,대구광역시 군위군 군위읍 동서2길 17-28,,,
군자산,충청북도 괴산군 칠성면 쌍곡리,,,
군자서원,전라남도 강진군 작천면 행정길 65-1,,,
군지촌정사,전라남도 곡성군 입면 제월군촌길 53,,,
군창지,충청남도 부여군 부여읍 쌍북리,,,
군탄공원과 전역비,강원특별자치도 철원군 갈말읍 호국로 4914-27,,,
군포 조선백자 요지,경기도 군포시 산본동 1057-4번지,,,
군학마을,전라남도 보성군 회천면 군학길 23-1,,,
군항마을 역사길,경상남도 창원시 진해구 충장로 71,,,
군헌갯벌체험장,충청남도 보령시 해안로 607-5,,,
군화마을,전라북도 남원시 운봉읍 군화동길 48-1,,,
굴업도,인천 옹진군 덕적면 굴업리,,,
굴포천 생태하천,인천광역시 부평구 굴포로 141,,,
굿데이뮤지엄,경상남도 창원시 마산회원구 봉암공단2길 22,,,
궁농항,경상남도 거제시 장목면 거제북로 2633-15,,,
궁동저수지 생태공원,서울특별시 구로구 궁동,,,
궁리포구,충청남도 홍성군 서부면 남당항로 853-5,,,
궁집,경기도 남양주시 평내동,,,
궁촌항,강원특별자치도 삼척시 근덕면 궁촌리  213-13,,,
궁촌해변(궁촌해수욕장),강원특별자치도 삼척시 근덕면 궁촌해변길 65,,,
궁터산촌생태체험마을,경상북도 문경시 농암면 궁터길 181,,,
궁평리 해수욕장,경기도 화성시 서신면 수문개길 81-36,,,
궁평유원지,경기도 화성시 서신면 궁평리 513-9,,,
궁평항,경기도 화성시 서신면 궁평항로 1069-17,,,
궁평항광장,경기도 화성시 궁평항로 1069-11 궁평리어촌체험안내소,,,
궁평해송군락지,경기도 화성시 서신면 궁평리 660-41,,,
궁항,전라북도 부안군 변산면 격포리 720-2,,,
궁항마을,경남 하동군 옥종면 궁항리,,,
궁항어촌체험마을,경상남도 통영시 산양읍 궁항길 46-8,,,
권관마을,경기도 평택시 현덕면 평택호길 159,,,
권율장군 이치대첩비,충청남도 금산군 진산면 대둔산로 191,,,
권율장군묘,경기도 양주시 장흥면 권율로 223,,,
권정생동화나라,경상북도 안동시 일직면 성남길 119,,,
권충민공순절비,충청남도 금산군 제원면 저곡리,,,
권희문가옥,전라북도 장수군 산서면 오메길 9,,,
궐리사,경기도 오산시 매홀로 3,,,
궷물오름,제주도 제주시 애월읍 유수암리 산136-6,,,
귀래정(순창),전라북도 순창군 순창읍,,,
귀목봉,경기도 가평군 북면 조무락골길 132,,,
귀산서원,경상북도 경주시 현곡면 구산서원길 71-12,,,
귀신사(김제),전라북도 김제시 금산면 청도6길 40,,,
귀암사,충청남도 금산군 부리면 평촌1길 2,,,
귀여리벚꽃길,경기도 광주시 남종면 귀여리,,,
귀정사(남원),전라북도 남원시 산동면 대상2길 246,,,
규봉암(화순),전라남도 화순군 이서면 도원길 40-28,,,
귤림서원,제주특별자치도 제주시 이도일동,,,
귤의정원 바령,제주특별자치도 제주시 조천읍 선흘남3길 87,,,
귤향기 감귤체험농장,제주특별자치도 제주시 1100로 3118,,,
귤현타워,인천광역시 계양구 정서진로 1247,,,
그곳에가면,경상북도 포항시 남구 호미곶면 일출로 571,,,
그라스원,경상북도 안동시 육사로 273,,,
그랑꼬또 와이너리 그린영농조합,경기도 안산시 단원구 뻐꾹산길 107,,,
그랜드유원지,경기도 양주시 장흥면 호국로 332,,,
그레이스 정원,경상남도 고성군 상리면 삼상로 1312-71,,,
그리팅맨,경기도 연천군 군남면 옥계리,,,
그린워커스,서울특별시 성동구 성수이로26길 47,,,
그린토피아,경기도 양평군 양서면 골용진길19번길 2-6,,,
그림같은 수목원(그림이 있는 정원),충청남도 홍성군 광천읍 충서로400번길 102-36,,,
그림같은수목원,충청남도 홍성군 광천읍 충서로400번길 102-36,,,
극락사(경기),경기도 광주시 오포읍 양촌길 268-1,,,
극락사(서울),서울특별시 중랑구 망우로91길 98,,,
극락암,경상남도 양산시 하북면 통도사로 108,,,
극락암(강원),강원특별자치도 고성군 교동2길 26 대한불교조계종극락암,,,
근대건축관 (구)조선은행군산지점,전라북도 군산시 해망로 214,,,
근대미술관 (구)일본 제 18은행 군산지점,전라북도 군산시 해망로 230,,,
근성서원,경상북도 안동시 일직면 긴대골길 10,,,
근암서원,경상북도 문경시 산북면 금천로 351-5,,,
근포동굴,경남 거제시 남부면 저구리 423,,,
글라스하우스,제주특별자치도 서귀포시 성산읍 섭지코지로 107,,,
글로리비치해수찜,전라남도 영광군 백수읍 해안로 950,,,
글로벌푸드타운,경상남도 김해시 서상동 82-45,,,
글로우사파리,경기도 안성시 공도읍 서동대로 3930-39,,,
글빛누리공원,경기도 수원시 영통구 망포동,,,
금갑해변,전라남도 진도군 의신면 금갑길 206-6,,,
금강,전라북도 장수군 천천면 오리골길,,,
금강 농바우마을 [농촌전통테마마을],충청남도 금산군 부리면 어재1길 2,,,
금강 문화관,충청남도 부여군 부여읍 북포로 451,,,
금강2경 도보여행길,충청남도 서천군 마서면 장산로855번길 56-2,,,
금강공원,부산광역시 동래구 우장춘로 155,,,
금강공원에코스튜디오,강원특별자치도 영월군 영월읍 영흥리 80,,,
금강굴,강원특별자치도 속초시 설악산로 1091,,,
금강대도,세종특별자치시 금남면 금천1길 78,,,
금강로하스 대청공원 (암석식물원),대전광역시 대덕구 대덕대로1527번길 200,,,
금강로하스대청공원,대전광역시 대덕구 대청로 607,,,
금강로하스산호빛공원,대전광역시 대덕구 석봉동,,,
금강미래체험관,전라북도 군산시 철새로 120 금강미래체험관,,,
금강벼룻길,전라북도 무주군 부남면 대소리,,,
금강보행교,세종특별자치시 연기면 세종리,,,
금강사(강릉),강원특별자치도 강릉시 연곡면 소금강길 670,,,
금강사(강진),전라남도 강진군 강진읍 효자길 38-24,,,
금강사(부산),부산광역시 동래구 우장춘로 211,,,
금강산전기철도교량,강원특별자치도 철원군 철원읍 평화로 3591,,,
금강생태공원(서천생태공원),충청남도 서천군 마서면 장산로 916,,,
금강소나무생태경영림,경상북도 영양군 수비면 신원리,,,
금강송 에코리움,경상북도 울진군 금강송면 십이령로 552,,,
금강수변공원,세종특별자치시 보람동 623-1,,,
금강습지생태공원,전라북도 군산시 성산면 성덕리,,,
금강식물원,부산광역시 금정구 장전동 산 43-1,,,
금강신관공원,충청남도 공주시 금벽로 368,,,
금강아트센터,충청남도 공주시 반포면 왕흥장악로 837,,,
금강암(보령),충청남도 보령시 미산면 보령호로 1139-102,,,
금강암(부산),부산광역시 금정구 범어사로 254,,,
금강온천,충청남도 공주시 고마나루길 51-12,,,
금강유원지,충청북도 옥천군 동이면 금강로 596,,,
"금강자연휴양림(금강수목원,산림박물관)",세종특별자치시 금남면 산림박물관길 110,,,
금강정,강원특별자치도 영월군 영월읍 금강공원길 136,,,
금강정사,경기도 광명시 설월로 58,,,
금강하구 철새도래지 (서천),충청남도 서천군 마서면 장산로 916,,,
금강하구둑 관광지,충청남도 서천군 장산로855번길 56-2,,,
금강하구둑(군산),전라북도 군산시 성산면 철새로 120,,,
금강하굿둑놀이동산,충청남도 서천군 마서면 장산로855번길 56-2,,,
금강호 관광지,전북 군산시 성산면 성덕리,,,
금계마을,경상남도 함양군 마천면 금계안길 11-3,,,
금곡공원,경기도 성남시 분당구 금곡로 298,,,
금곡동 제철유적,광주광역시 북구 무등로,,,
금곡사,경상북도 경주시 안강읍 두류길 758,,,
금곡사(강진),전라남도 강진군 군동면 까치내로 261-21,,,
금곡사(칠곡),경상북도 칠곡군 가산면 금화길 107,,,
금곡사삼층석탑,전라남도 강진군 군동면 까치내로 261-21,,,
금곡서원,충청남도 논산시 연무읍 왕릉로 170-35,,,
금곡서원,경상북도 예천군 용문면 금당실길 174,,,
금곡영화마을,전라남도 장성군 영화마을길 254-7 종합복지센타,,,
금곡해수욕장,전라남도 완도군 생일면 금곡리,,,
금골산,전라남도 진도군 군내면 금골길,,,
금관총,경상북도 경주시 노서동,,,
금광관광농원,경기도 안성시 금광면 현곡길 344,,,
금광호수,경기도 안성시 금광면,,,
금광호수공원,경기도 안성시 금광면 금광리,,,
금구원야외조각미술관,전라북도 부안군 변산면 조각공원길 31,,,
금구향교,전라북도 김제시 금구면 금구3길 12,,,
금남 백로 서식지,세종특별자치시 금남면 감성길 45-13,,,
금남로,광주광역시 동구 금남로 일대,,,
금능돌담해변길,제주특별자치도 제주시 한림읍 금능9길 24,,,
금능석물원,제주특별자치도 제주시 한림읍 한림로 176,,,
금능포구,nan,,,
금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10,,,
금당계곡,강원특별자치도 평창군 대화면 금당계곡로 766-2,,,
금당도,전라남도 완도군 금당면 금당로 50-1,,,
금당사(진안),전라북도 진안군 마령면 마이산남로 217,,,
금당산,강원특별자치도 평창군 용평면,,,
금대계곡,강원특별자치도 원주시 판부면 치악로 546-22,,,
금대봉야생화 군락지,강원특별자치도 태백시 창죽동 산 1-1 삼수동 일대,,,
금대암,경상남도 함양군 마천면 천왕봉로 1035-528,,,
금둔사,전라남도 순천시 낙안면 조정래길 1000,,,
금란정,강원특별자치도 동해시 삼화로 538,,,
금련산,부산광역시 수영구 광안동,,,
금룡사(제주),제주특별자치도 제주시 구좌읍 김녕로 148-11,,,
금릉경포대,전라남도 강진군 성전면 백운로 146-1,,,
금리단길,경상북도 경주시 원효로 127,,,
금마저수지,전라북도 익산시 금마면 고도9길 41-64,,,
금병공원,경상남도 김해시 진영읍 하계로 407-1,,,
금봉자연휴양림,경상북도 의성군 휴양림길 114 금봉자연휴양림,,,
금빛공원,서울특별시 금천구 금하로 668,,,
금산 대원정사,충청남도 금산군 금산읍 비범3길 17,,,
금산 바리실마을,충청남도 금산군 제원면 바리실길 206,,,
금산 백령성,충청남도 금산군 남이면 역평리,,,
금산 보리암(남해),경상남도 남해군 상주면 보리암로 665,,,
금산 천내리 용호석,충청남도 금산군 제원면 천내리,,,
금산 천내리/용화리 고인돌,충청남도 금산군 제원면 용화리,,,
금산 충렬사,충청남도 금산군 금성면 진산로 356-10,,,
금산 칠백의총,충청남도 금산군 금성면 의총길 50,,,
금산(남해),경상남도 남해군 상주면,,,
금산공원(납읍난대림지대),제주특별자치도 제주시 애월읍 납읍리,,,
금산교회,전라북도 김제시 금산면 모악로 407,,,
금산사(김제),전라북도 김제시 금산면 모악15길 1,,,
금산생태숲,충청남도 금산군 남이면 느티골길 200,,,
금산서원,경상북도 포항시 남구 장기면 신창길191번길 25-12,,,
금산원,전라남도 강진군 군동면 동관덕길 81,,,
금산인삼관,충청남도 금산군 금산읍 인삼광장로 30,,,
금산지구별그림책마을,충청남도 금산군 진산면 지방리,,,
금산향교,충청남도 금산군 금산읍 비단로 298,,,
금석저수지,충북 음성군 금왕읍 육령리 461-1,,,
금선사(서울),서울특별시 종로구 비봉길 137,,,
금선폭포,전북 정읍시 내장동,,,
금성산,경상북도 의성군 금성면,,,
금성산(전남),전라남도 나주시 다시면 신광리,,,
금성산(합천),경상남도 합천군 대병면 성리,,,
금성산생태숲,전라남도 나주시 노안면 금안2길 207-161,,,
금성전파사 새로고침센터,서울특별시 동대문구 고산자로36길 3 (제기동),,,
금소생태공원,경상북도 안동시 임하면 금소길 341-12,,,
금수사(부산),부산광역시 동구 망양로 533-1,,,
금수산,충청북도 단양군 적성면 상학1길 210,,,
금시당,경상남도 밀양시 활성로 24-183,,,
금시당유원지,경상남도 밀양시 활성동 584-4,,,
금암체육공원,경기도 평택시 서탄면 서탄로 326-41,,,
금암친수공원,충청북도 옥천군 동이면 금암리 1139번지,,,
금연저수지,강원특별자치도 철원군 동송읍 오지리,,,
금오도,전라남도 여수시 남면,,,
금오랜드 놀이동산,경상북도 구미시 금오산로 339,,,
금오름,제주특별자치도 제주시 한림읍 금악북로,,,
금오산도립공원,경상북도 구미시 남통동 산33,,,
금오산성,경상북도 구미시 남통동,,,
금오산전망대,경상남도 하동군 금남면 경충로 493-223,,,
금오산케이블카,경상북도 구미시 금오산로 419,,,
금오서원,경상북도 구미시 선산읍 유학길 593-31,,,
금오저수지 (금오산저수지),경상북도 구미시 남통동,,,
금왕사,경상남도 남해군 이동면 보리암로 65-23,,,
금용사(대구),대구광역시 달서구 공원순환로 213,,,
금용암(부산),부산광역시 연제구 성지곡로 111,,,
금원산,경상남도 거창군 북상면 창성리,,,
금원산자연휴양림,경상남도 거창군 위천면 금원산길 412,,,
금월봉,충청북도 제천시 금성면 월굴리,,,
금은모래강변공원,경기도 여주시 강변유원지길 164,,,
금이성,세종특별자치시 전동면 송성리,,,
금일명사십리해수욕장,전라남도 완도군 금일읍 금일로 886,,,
금장대,경상북도 경주시 동대로 123,,,
금장대 수변공원,경상북도 경주시 석장동 산38-8,,,
금장해수욕장,전라남도 고흥군 금산면 금장길 78-4,,,
금전산,전라남도 순천시 낙안면 상송리,,,
금정사,경상남도 하동군 금남면 금정길 113-1,,,
금정사(김포),경기도 김포시 승가로 125,,,
금정산 (부산 국가지질공원),부산광역시 금정구 금성동,,,
금정산성,부산광역시 금정구 북문로 78-5,,,
금정산성 동문,부산광역시 금정구 장전동,,,
금정산성 막걸리,부산광역시 금정구 산성로 453,,,
금정산성마을 먹거리촌,부산광역시 금정구 금성동,,,
금정선원,부산광역시 동래구 우장춘로 157-59,,,
금주산,경기도 포천시 영중면 금주리,,,
금진항,강원특별자치도 강릉시 옥계면 금진리,,,
금진항,전라남도 고흥군 금산면 신촌리 334-21,,,
금진해변,강원특별자치도 강릉시 옥계면 헌화로 271,,,
금천 체육공원,서울특별시 금천구 독산로54길 102-27,,,
금천 폭포공원,서울특별시 금천구 시흥대로38길 61,,,
금천골 석탄층,강원특별자치도 태백시 금천길 93-24,,,
금천예술공장,서울특별시 금천구 범안로15길 57,,,
금탑사(고흥),전라남도 고흥군 포두면 금탑로 842,,,
금평저수지,전북 김제시 금산면 청도리,,,
금풀애마을,강원특별자치도 양양군 현북면 남대천로 1532,,,
금풍양조장,인천광역시 강화군 삼랑성길 8,,,
금학산관광농원,강원특별자치도 홍천군 팔봉산로 2050-112,,,
금학생태공원,충청남도 공주시 수원지공원길 74,,,
금호강 오토캠핑장,대구광역시 북구 검단동 458-4번지,,,
금호도,전라남도 진도군 고군면 금호도길 16,,,
금호리조트 제주아쿠아나,제주특별자치도 서귀포시 남원읍 태위로 522-12,,,
금호못유원지,경상남도 진주시 금산면 금산순환로587번길 10-6,,,
금호서원,경상북도 청도군 이서면 삼성산길 106-58,,,
금호서원(경산 부호리),경상북도 경산시 하양읍 가마실길2길 32-1,,,
금호재,경상남도 창녕군 대합면 대동길 33,,,
금호지,경상남도 진주시 금산면 금산순환로587번길,,,
금호타이어 광주공장,광주광역시 광산구 어등대로 658,,,
금화계곡,경상북도 칠곡군 가산면 가산로 290-8,,,
금화서원,충청북도 보은군 삼승면 선곡리,,,
금화지,경상북도 칠곡군 가산면 가산로 51,,,
급수대 주상절리,경상북도 청송군 공원길 346,,,
급치산전망대,전라남도 진도군 지산면 지산로 160-60,,,
기강서원,경상남도 의령군 지정면 오천리,,,
기기국 번사창,서울특별시 종로구 삼청동,,,
기독교인 순교지,전라남도 영광군 염산면 향화로5길 34-30,,,
기동 삼거리 벽화,전라남도 신안군 암태면 기동리 677-1,,,
기러기공원,충청남도 금산군 제원면 천내리 1007,,,
기린봉,전라북도 전주시 덕진구 우아동1가,,,
기린사우나,강원특별자치도 강릉시 남부로125번길 18,,,
기린성당,강원특별자치도 인제군 기린면 기린로42번길 9-5,,,
기림사,경상북도 경주시 양북면 기림로 437-17,,,
기미3.1운동비,전라북도 장수군 비행로 82-4,,,
기미만세공원,강원특별자치도 홍천군 내촌면 물걸리,,,
기박산성 의병 역사공원,울산광역시 북구 매곡동,,,
기배역사공원,경기도 화성시 기안동,,,
기백산,"경상남도 함양군 안의면,",,,
기백산 용추계곡과 용추폭포,경상남도 함양군 안의면 용추휴양림길 158,,,
기사문마을,강원특별자치도 양양군 현북면 기사문리,,,
기사문항,강원특별자치도 양양군 현북면 기사문길 8,,,
기사문해수욕장,강원특별자치도 양양군 현북면 기사문길 8,,,
기산저수지,충청남도 공주시 계룡면 기산리,,,
기성망양해수욕장,경상북도 울진군 기성면 망양리,,,
기성항,경상북도 울진군 기성면 기성본길 117-4,,,
기아 화성공장,경기도 화성시 기아자동차로 95,,,
기암 단애,경상북도 청송군 공원길 346,,,
기암서원,충청북도 청주시 상당구 낭성면 갈산3길 15,,,
기양서당,경상북도 안동시 임동면 수곡용계로 1698,,,
기양서원,경상남도 함안군 칠원읍 무기1길 33,,,
기억의 터(일본군 위안부),서울특별시 중구 퇴계로26가길 6,,,
기억저장소뜨듯 협동조합,경상남도 김해시 한림로401번길 11-1,,,
기업사랑공원,경상남도 창원시 성산구 가음정로 38,,,
기우산(정선),강원특별자치도 정선군 정선읍 용담길 102-22,,,
기장해녀촌(연화리횟촌),부산광역시 기장군 기장읍 연화1길 184,,,
기장향교,부산광역시 기장군 기장읍 차성로417번길 35,,,
기적의놀이터 3호,전남 순천시 서면 선평리 818-23,,,
기적의놀이터 4호,전라남도 순천시 용당동 496,,,
기점·소악도,전라남도 신안군 증도면,,,
기지제,전라북도 전주시 덕진구 장동 1110,,,
기지제 수변공원,전라북도 전주시 덕진구 장동 1094,,,
기지포해수욕장,충청남도 태안군 안면읍 해안관광로 745-19,,,
기차산 해골바위,전라북도 완주군 동상면 신월리,,,
기천서원,경기도 여주시 금사면 뒷머리길 11,,,
기천서원,경상북도 예천군 용궁면 나산길 35-9,,,
기청산식물원,경상북도 포항시 북구 청하면 청하로175번길 50,,,
기촌마을,전라남도 구례군 토지면 피아골로 6,,,
기화리 코끼리바위,강원특별자치도 평창군 미탄면 기화리 225,,,
기흥레스피아호수공원,경기도 용인시 기흥구 하갈로 79,,,
기흥맛깔촌,경기도 용인시 기흥구 상갈동,,,
기흥호수공원,경기도 용인시 기흥구 동탄기흥로 923,,,
기흥호수공원 반려동물놀이터,경기도 용인시 기흥구 하갈로 79-1,,,
긴고랑 공원,서울 광진구 중곡동 68-19,,,
긴고랑계곡,서울특별시 광진구 중곡동,,,
길동생태공원,서울특별시 강동구 천호대로 1291,,,
길상도예,서울특별시 서초구 서초동 1362-9 브니엘빌딩,,,
길상사(서울),서울특별시 성북구 선잠로5길 68,,,
길안천지생태공원,경상북도 안동시 길안면 천지리,,,
길치근린공원(가양비래근린공원),대전광역시 대덕구 신상로 65,,,
김공 휘 유경 효자문·김공 휘 홍익 충신문,충청남도 서산시 음암면 유계리,,,
김광석 길 (김광석다시그리기길),대구광역시 중구 달구벌대로 2238,,,
김기서강학당,전라북도 고창군 고수면 사동길 40-160,,,
김남주 생가,전라남도 해남군 삼산면 봉학리,,,
김남택신도비,전라북도 장수군 계남면 원호덕길 79,,,
김녕미로공원,제주특별자치도 제주시 구좌읍 만장굴길 122,,,
김녕사굴 [유네스코 세계자연유산],제주특별자치도 제주시 구좌읍 덕평로 392-1,,,
김녕성세기해변 (김녕해수욕장),제주특별자치도 제주시 구좌읍 구좌해안로 237,,,
김녕오조해안도로,제주 제주시 구좌읍 월정리 1400-36,,,
김녕항 / 김녕포구,제주특별자치도 제주시 구좌읍 김녕항1길 50-13,,,
김대기가옥,경상북도 예천군 용문면 금당실길 80-8,,,
김대중 대통령 생가,전라남도 신안군 하의면 후광길 255,,,
김대중대교,전라남도 신안군 압해읍,,,
김룡사(문경),경상북도 문경시 산북면 김용길 372,,,
김면장군유적,경상북도 고령군 쌍림면 칠등길 138,,,
김명희 조형 스튜디오,경기도 양평군 서종면 화서로 973,,,
김민부전망대,부산광역시 동구 영초윗길26번길 11,,,
김범우의 집,전라남도 보성군 벌교읍 봉림길 22-9,,,
김병호고가,경기도 양평군 용문면 오촌길49번길 6,,,
김복규·김기종 효자 정려비 및 정판,전라북도 임실군 임실읍 임삼로 1590-20,,,
김산향교,경상북도 김천시 김산향교1길 2-19,,,
김삿갓 계곡,강원특별자치도 영월군 김삿갓면 와석리,,,
김삿갓 묘역,강원특별자치도 영월군 김삿갓면 와석리,,,
김상옥 생가,경상남도 통영시 항남1번가길 13,,,
김상용순절비,인천광역시 강화군 강화읍 관청리,,,
김성래 가옥,강원특별자치도 양양군 현남면 북분안길 106-9,,,
김세균판서고가,충청북도 제천시 한수면 미륵송계로 1588-1,,,
김수환 추기경 사랑과 나눔공원,대구광역시 군위군 군위읍 용대리238-7,,,
김숙자사당,경상남도 거창군 남상면 한산1길 132-7,,,
김시민장군 충민사,충청북도 괴산군 괴산읍 충민사길 46,,,
김영삼 전 대통령 생가,경상남도 거제시 장목면 옥포대첩로 743-1,,,
김완장군묘소 및 신도비,전라남도 영암군 시종면 만수리,,,
김용학가옥,광주광역시 북구 하백로29번길 24,,,
김원일의 마당깊은 집,대구광역시 중구 약령길 33-10,,,
김유정문학촌,강원특별자치도 춘천시 신동면 김유정로 1430-14,,,
김육불망비,전라북도 익산시 함라면 수동길 8,,,
김응하장군 묘비,강원특별자치도 철원군 철원읍 화지리 산 1-1,,,
김익상 의거지,서울특별시 중구 소파로 126,,,
김일성 별장,강원특별자치도 고성군 거진읍 화진포길 280,,,
김정묘역 문인석,강원특별자치도 춘천시 칠전동 619-2,,,
김정선생묘소일원,대전광역시 동구 회남로 117,,,
김정회고가,전라북도 고창군 고창읍 도산1길 16,,,
김제 벽골제,전라북도 김제시 부량면 벽골제로 442,,,
김제 외갓집마을,전라북도 김제시 금구면 사방길 110-5,,,
김제남 신도비,강원특별자치도 원주시 지정면 흥법사지길 18,,,
김제동헌,전라북도 김제시 동헌4길 46-1,,,
김제평야,"전라북도 김제시 만경읍 화포리,소토리,청하면 동지산리 일대",,,
김제향교,전라북도 김제시 향교길 89-3,,,
김종길 가옥,강원특별자치도 영월군 주천면 고가옥길 27,,,
김종서장군묘,세종특별자치시 장군면 대교리,,,
김좌진장군동상,충청남도 홍성군 홍성읍 고암리,,,
김좌진장군묘,충청남도 보령시 청소면 김좌진로 200,,,
김좌진장군생가지,충청남도 홍성군 갈산면 백야로546번길 12,,,
김중업 건축박물관 (옛 유유산업 공장),경기도 안양시 만안구 예술공원로103번길 4,,,
김천 녹색미래과학관,경상북도 김천시 혁신6로 31,,,
김천 물소리 생태숲,경상북도 김천시 부항면 파천2길 480,,,
김천 사명대사공원,경상북도 김천시 대항면 직지사길 130,,,
김천 이화만리 마을,경상북도 김천시 농소면 벽봉로 1651,,,
