accommodationlist_name,addr,rates,visitors,reviews
루브호텔,경기도 김포시 약암로 879,,,
루소호텔,강원특별자치도 강릉시 교동광장로100번길 12,,,
루이스호텔,울산광역시 동구 해수욕장2길 65,,,
루체빌리조트,제주특별자치도 서귀포시 안덕면 산록남로 786,,,
룩소르 호텔,경기도 고양시 일산서구 강성로 253,,,
류황가원림,전라남도 순천시 조정래길 806-70,,,
르그랑블루 리조트,전라남도 여수시 돌산읍 무술목길 34,,,
르네블루by워커힐,강원특별자치도 고성군 심층수길 96,,,
르네상스호텔,부산광역시 사상구 광장로 60,,,
르아브르,서울특별시 강서구 까치산로 83,,,
르이데아호텔,부산광역시 동구 중앙대로180번길 16-10,,,
리디자인호텔,경기도 용인시 기흥구 동백3로11번길 43,,,
리버뷰(River View),서울특별시 성동구 독서당로 191,,,
리버사이드,강원특별자치도 평창군 봉평면 애강나무길 86,,,
리버사이드게스트하우스,서울특별시 광진구 뚝섬로 702-4,,,
리버스모텔,전라남도 장흥군 장흥읍 장흥대로 3528,,,
리버웍펜션,강원특별자치도 춘천시 남산면 북한강변길 840,,,
리버틴호텔 경주,경상북도 경주시 태종로685번길 23,,,
리버파크(순천리버파크관광호스텔),전라남도 순천시 주암면 주암호길 27,,,
리버힐펜션,강원특별자치도 홍천군 서면 도롱골길 177-12,,,
리베라모텔(태백),강원특별자치도 태백시 고원로 87,,,
리베라미니호텔,충청남도 아산시 음봉면 아산온천로243번길 123,,,
리베로호텔,부산광역시 해운대구 구남로29번길 21,,,
리브라이프 호텔,경기도 시흥시 중심상가1길 25,,,
리센 오션파크 속초,강원특별자치도 속초시 해오름로 167,,,
리솜포레스트(제천),충청북도 제천시 백운면 금봉로 365,,,
리앙스펜션,경상북도 문경시 문경읍 주흘로 241-14,,,
리오텔,경기도 파주시 탄현면 필승로 438,,,
리우오션 레지던스,경상남도 거제시 일운면 옥림리,,,
리인목포게스트하우스,전라남도 목포시 마인계터로38번길 6,,,
리젠트모텔,강원특별자치도 춘천시 공지로461번길 14,,,
리츠모텔,경기도 용인시 처인구 포곡읍 전대로78번길 18-1,,,
리츠모텔,전라남도 여수시 거북선공원1길 8,,,
리츠모텔,인천광역시 서구 칠천왕로7번길 19,,,
리츠모텔,경상남도 창원시 성산구 용지로 64,,,
리츠캐슬 리조트,충청남도 태안군 근흥면 마도길 188-8,,,
리츠프라자호텔,전라북도 군산시 한밭안길 30,,,
리치다이아몬드호텔,서울특별시 강북구 삼양로 500-18,,,
리치문펜션,강원특별자치도 강릉시 사천면 해안로 904-22,,,
리치빌,경기도 양평군 서종면 황순원로 449,,,
리치스테이호텔,경기도 평택시 고덕중앙2로 77-6 리치타워,,,
리치웰호텔,서울특별시 강남구 테헤란로37길 13-10 (역삼동),,,
리치호텔,인천광역시 연수구 능허대로 124,,,
리틀 프린스 펜션,전라남도 구례군 마산면 화엄사로 386-9,,,
리틀포레스트 키즈풀빌라,경기도 포천시 일동면 화대리,,,
리프레쉬 펜션&캠핑장,강원특별자치도 평창군 봉평면 흥정계곡4길 7-25,,,
린다픽,서울특별시 용산구 이태원로23길 26-5,,,
림펜션,경상남도 통영시 산양읍 이운길 64-34,,,
링스모텔,전라북도 군산시 장미1길 23,,,
마골댁,경상북도 영덕군 창수면 인량1길 24,,,
마당예쁜집(전주한옥마을 마당예쁜집),전라북도 전주시 완산구 향교길 79-8,,,
마띠유호텔 여수,전라남도 여수시 오동도로 20,,,
마레보 비치호텔,제주특별자치도 제주시 곽지1길 23 마레보비치호텔,,,
마로니에펜션,충청남도 태안군 원북면 신두해변길 135,,,
마루 O 호텔(MARU-O),전라남도 나주시 배멧3길 5-8,,,
마루펜션,전라북도 부안군 변산면 노루목길 8-5,,,
마루펜션,경기도 양평군 서종면 소유곡길 30,,,
마루호텔,경기도 수원시 팔달구 고화로9번길 33,,,
마리나 비치펜션,충청남도 태안군 남면 몽대로 494-8,,,
마리나펜션,경상남도 통영시 수륙길 5,,,
마리솔펜션,충청남도 태안군 남면 몽산포길 85,,,
마리조아펜션,경상남도 통영시 용남면 기호바깥길 7-35,,,
마리호텔,경기도 김포시 김포한강9로75번길 190 (구래동),,,
마메별,강원특별자치도 평창군 봉평면 안흥동길 85,,,
마산m호텔,경상남도 창원시 마산합포구 해안대로 367,,,
마스터스관광호텔,광주광역시 서구 상무연하로 46,,,
마운틴밸리 펜션,강원특별자치도 철원군 동송읍 담터길 174,,,
마을호텔18번가,강원특별자치도 정선군 고한읍 고한2길 36,,,
마음의 고향,전라남도 무안군 현경면 현해로 335-31,,,
마음이머무는곳,강원특별자치도 화천군 사내면 포화로 653-76,,,
마이그린 펜션,강원특별자치도 철원군 갈말읍 두루미로 245-36,,,
마이다스관광호텔,광주광역시 광산구 임방울대로825번길 43,,,
마이다스모텔,경상남도 거창군 가조면 온천길 44,,,
마이러블리티(NANAHOUSE(나나하우스)),서울특별시 강서구 공항대로5길 34,,,
마이비치,강원특별자치도 양양군 손양면 선사유적로 316-62,,,
마이스테이,전라북도 전주시 완산구 동문길 57-8,,,
마인호텔,경기도 화성시 향남읍 하길리,,,
마전역 게스트하우스,인천광역시 서구 완정로65번안길 10,,,
마티에 오시리아,부산광역시 기장군 기장읍 동부산관광7로 17,,,
만산고을펜션(구 만산수목원펜션),강원특별자치도 화천군 상서면 만산동로 898-16,,,
만소당,경상북도 안동시 한옥마을1길 6-9,,,
만죽재 고택,경상북도 영주시 무섬로234번길 11-10,,,
만초고택,경상북도 안동시 금소중앙길 48,,,
만회고택,경상북도 봉화군 봉화읍 바래미1길 51,,,
맑은물리조트,강원특별자치도 인제군 기린면 내린천로 4723,,,
맑은물소리 펜션,강원특별자치도 인제군 기린면 대내로 97,,,
맘마논맘마,경상남도 통영시 용남면 용남해안로 230,,,
망상파크펜션,강원특별자치도 동해시 망상길 45-1,,,
망상펜션,강원특별자치도 동해시 망상길 45-1,,,
망와고택,경상북도 봉화군 물야면 오록2길 48,,,
망치몽돌펜션,경상남도 거제시 일운면 망치1길 14-1,,,
매물도펜션,경상남도 통영시 한산면 매물도대항길 65-1,,,
매물도하나 민박(매물도하나펜션),경상남도 통영시 한산면 당금길 57-20,,,
매죽헌(매죽헌 한옥 민박),전라남도 순천시 월등면 외동길 56,,,
매죽헌2(매죽헌한옥민박),전라남도 순천시 월등면 외동길 56,,,
맥산댁,경상북도 고령군 쌍림면 개실2길 8,,,
맨하탄모텔,전라북도 순창군 순창읍 대동로 41,,,
머물고싶은곳,강원특별자치도 정선군 여량면 노추산로 1146-2,,,
머큐어 앰배서더 서울 홍대,서울특별시 마포구 양화로 144 MERCURE 앰배서더 HOTEL 홍대,,,
머큐어앰배서더 제주,제주특별자치도 서귀포시 한창로 365,,,
먼나머루휴양펜션(제주편백한옥펜션 먼나머루),제주특별자치도 제주시 조천읍 남조로 2528,,,
멀티스페이스 곳,서울특별시 종로구 계동길 52-11,,,
메리머드호텔,충청남도 보령시 해수욕장8길 52,,,
메리어트 이그제큐티브 아파트먼트 서울 여의도,서울특별시 영등포구 여의대로 8,,,
메리어트관 제주신화월드 호텔 앤 리조트,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,,,
메리제인호텔,충청북도 청주시 흥덕구 짐대로72번길 13,,,
메모리 인 제주,제주특별자치도 서귀포시 염돈로 95,,,
메아리펜션,강원특별자치도 평창군 평창읍 매화길 184,,,
메이드호텔,전라북도 남원시 소리길 110,,,
메이트호텔,경기도 성남시 분당구 황새울로335번길 7 (서현동),,,
메이페어 데네브,강원특별자치도 평창군 봉평면 안흥동길 70-88,,,
메이페어 리겔,강원특별자치도 평창군 봉평면 안흥동길 70-85,,,
메이페어나르샤,강원특별자치도 평창군 봉평면 안흥동길 70-83,,,
메이플레이스 호텔 서울 동대문,서울특별시 종로구 율곡로 179,,,
메이플펜션,강원특별자치도 정선군 남면 자뭇골길 206,,,
메이필드호텔,서울특별시 강서구 방화대로21길 94,,,
메이힐스리조트,강원특별자치도 정선군 고한읍 물한리길 8,,,
메종글래드 제주,제주특별자치도 제주시 노연로 80,,,
메종드메르,강원특별자치도 양양군 현남면 동해대로 694,,,
메종드스테이,서울특별시 종로구 율곡로1길 52-4,,,
메종드씨엘,경기도 양평군 서종면 황순원로238번길 11-5,,,
메종미니호텔,경상북도 경주시 태종로699번길 24,,,
메트로호텔,서울특별시 중구 명동9가길 14,,,
멜로즈펜션,강원특별자치도 홍천군 서면 개야마을길 166,,,
명동게스트하우스 꼬모,서울특별시 중구 퇴계로24길 12,,,
명문가,전라북도 전주시 완산구 오목대길 50-3,,,
명성리조텔,인천광역시 옹진군 영흥면 영흥로722번길 39,,,
명품무인호텔,전라남도 목포시 하당남부로51번길 14,,,
모꼬지,전라북도 전주시 완산구 향교길 124-6,,,
모꼬지,서울특별시 종로구 혜화로16길 13-6,,,
모닝듀 게스트 하우스(모닝듀),부산광역시 동구 초량중로21번길 5-2,,,
모다 게스트하우스,경상남도 통영시 항남1길 15-4,,,
모던힐펜션,강원특별자치도 횡성군 둔내면 두원1길 20-7,,,
모래불 펜션(모래불 스테이),강원특별자치도 정선군 여량면 송천길 2-51,,,
모비딕 모텔,강원특별자치도 양양군 현남면 남애안길 22,,,
모아모텔,전라남도 함평군 함평읍 함영로 1018,,,
모아모텔,강원특별자치도 속초시 영금정로5길 1,,,
모졸재,경상북도 고령군 쌍림면 개실1길 16,,,
모지고택,경상북도 안동시 풍천면 하회남촌길 33,,,
모카펜션,전라북도 부안군 변산면 격포반월길 27-21,,,
모텔 마리나,인천광역시 옹진군 영흥면 선재로 311,,,
모텔 마이다스,전라남도 여수시 봉산남7길 17-8,,,
모텔 엘도라도,경상남도 하동군 금남면 경충로 178-18,,,
모텔 투헤븐,전라남도 여수시 시청동3길 35-16,,,
모텔2010,경상북도 영주시 풍기읍 죽령로 1706,,,
모텔라마다,충청남도 천안시 동남구 목천읍 동평3길 71,,,
모텔리베,경상북도 경주시 태종로 691-30,,,
모텔신라,경상남도 통영시 동충4길 51,,,
모텔탑,전라남도 순천시 별량면 금치길 111,,,
모텔티,전라남도 여수시 교동남1길 6-12,,,
모텔힐,강원특별자치도 강릉시 방동길 43-12,,,
모퉁이 돌아 외갓집 가는 길,경상북도 영주시 부석면 의상로1046번길 125-36,,,
모항 해나루 가족호텔,전라북도 부안군 변산면 모항해변길 73,,,
목양산방,전라남도 순천시 대대1길 24,,,
목원당,"13-29, Jukjeongseowon-gil, Yeongam-gun, Jeollanam-do",,,
목임당,전라남도 보성군 문덕면 가내길 18-33,,,
목임당,전라남도 보성군 문덕면 가내길 18-33,,,
목재고택,경상북도 안동시 도산면 백운로 533-20,,,
목포 마리나베이호텔,전라남도 목포시 해안로249번길 1,,,
목포 올레,전라남도 목포시 열린길 18,,,
목포가족관광호텔,전라남도 목포시 호남로64번길 28,,,
목포무인호텔,전라남도 목포시 비파로108번길 14,,,
목향재,세종특별자치시 만남로6길 33,,,
몬띠마르펜션,강원특별자치도 양양군 강현면 진미로 510-36,,,
몰디브,충청남도 태안군 안면읍 풍어제길 44-12,,,
몰디브,전라남도 목포시 옥암로46번길 37,,,
몽돌하우스펜션,경상남도 통영시 용남면 연기길 13,,,
몽산펜션,충청남도 태안군 남면 몽산포길 112-38,,,
몽산포비치펜션,충청남도 태안군 남면 달산포로 167-32,,,
몽산포파인펜션,충청남도 태안군 남면 몽산포길 142,,,
몽산포펜션,충청남도 태안군 남면 달산포로 201-10,,,
무등파크호텔,광주광역시 동구 지호로164번길 14-10,,,
무아게스트하우스,전라북도 남원시 요천로 1501-10,,,
무아레 도그라운드,경기도 가평군 청평면 북한강로1636번길 25,,,
무안비치호텔,전라남도 무안군 톱머리길 36,,,
무안톱관광펜션,전라남도 무안군 망운면 톱머리길 118,,,
무주 다다펜션,전라북도 무주군 설천면 외배방길 22,,,
무주 덕유산 레저바이크텔,전라북도 무주군 설천면 구천동로 968,,,
무주네버랜드,전라북도 무주군 무풍면 구천동로 289-55,,,
무주덕유산리조트 가족호텔,전라북도 무주군 설천면 만선로 185,,,
무주덕유산리조트 국민호텔,전라북도 무주군 설천면 만선로 185,,,
무주덕유산리조트 호텔티롤,전라북도 무주군 설천면 만선로 185,,,
무주스키텔,전라북도 무주군 설천면 만선로 36-19,,,
무주오리펜션,전라북도 무주군 구천동로 1051,,,
무주해바라기펜션,전라북도 무주군 설천면 구천동1로 129-15,,,
무주해바라기펜션호스텔,전라북도 무주군 설천면 구천동1로 129-15,,,
무진,전라남도 순천시 순천만길 560,,,
무창포 비체팰리스,충청남도 보령시 웅천읍 열린바다1길 78,,,
무척산관광예술원,경상남도 김해시 생림면 안양로358번길 38,,,
묵계종택,경상북도 안동시 길안면 충효로 1736-5,,,
문게스트하우스,서울특별시 종로구 삼일대로32길 31-18,,,
문경관광호텔,경상북도 문경시 문경읍 새재2길 32-11,,,
문리버펜션,전라북도 무주군 무풍면 구천동로 289-4,,,
문수산펜션,경기도 김포시 월곶면 문수산로 174-25,,,
문행당,경상북도 봉화군 봉화읍 충재길 87-65,,,
문헌전통호텔,충청남도 서천군 서원로172번길 49-1,,,
문화공간 양사재,전라북도 전주시 완산구 오목대길 40 양사재,,,
문화공간 진,경상북도 경주시 동성로 83,,,
물결그림,제주특별자치도 제주시 함덕5길 8-7,,,
물고기나무 게스트하우스,제주특별자치도 서귀포시 성산읍 중산간동로 4204-14,,,
물고기미포펜션,부산광역시 해운대구 달맞이길62번길 46,,,
물빛소리펜션,경상남도 통영시 도산면 도산일주로 1294-30,,,
물소리바람소리펜션,강원특별자치도 정선군 북평면 오대천로 412,,,
물소리새소리(양평),경기도 양평군 서종면 무드리2길 57-1,,,
물소리펜션,경기도 양평군 옥천면 용천로 1038,,,
물안개피는 들꽃나루펜션,강원특별자치도 홍천군 서면 개야로 579-49,,,
물안골스머프펜션,강원특별자치도 화천군 사내면 물안골길 12-64,,,
뮤모텔,경상남도 고성군 고성읍 월평1길 81-4,,,
미고펜션,경기도 화성시 서신면 해안길178번길 48-9,,,
미담 한옥 게스트 하우스,서울특별시 종로구 북촌로6길 25-6,,,
미도모텔,제주특별자치도 서귀포시 성산읍 성산등용로 1,,,
미라벨모텔,부산광역시 동구 중앙대로179번길 6,,,
미라벨호텔,경기도 고양시 일산동구 중앙로 1056,,,
미라지모텔,강원특별자치도 속초시 동해대로 4164,,,
미라지펜션,경상남도 통영시 산양읍 삼칭이해안길 202,,,
미란다 호텔,경기도 이천시 중리천로115번길 45,,,
미로 게스트하우스,서울특별시 마포구 동교로38길 27,,,
미륵미륵 맥주호스텔,경상남도 통영시 해송정4길 37,,,
미륵산자연학교,전라북도 익산시 삼기면 죽청길 46-60,,,
미리내 리조트,경기도 양평군 지평면 월산저수지길 21,,,
미성스위트펜션,경상남도 통영시 산양읍 산양일주로 594,,,
미송온천호텔,전라남도 화순군 도곡면 온천2길 51,,,
밀라노모텔,제주특별자치도 서귀포시 솔동산로10번길 2,,,
밀라트,충청남도 태안군 안면읍 꽃지2길 58-47,,,
밀레니엄빌,제주특별자치도 서귀포시 보목로64번길 196,,,
밀리토피아호텔,경기도 성남시 수정구 위례대로 83,,,
밀양관광펜션아름드리,경상남도 밀양시 단장면 표충로 826-14,,,
바다가머무는집,경상남도 남해군 창선면 동부대로 2575-92,,,
바다내음펜션,충청남도 태안군 소원면 가락골길 44-8,,,
바다뜰이야기펜션,경기도 화성시 서신면 해안길 96-19,,,
바다마을이야기,충청남도 태안군 이원면 원이로 2909-19,,,
바다산책,충청남도 태안군 고남면 젓개길 262-30,,,
바다소리펜션,전라북도 부안군 변산면 변산해변로 98,,,
바다소리펜션,경상남도 통영시 사량면 상도일주로 1418,,,
바다에누워 펜션,제주특별자치도 서귀포시 남원읍 위미해안로 60,,,
바다여행파크,충청남도 태안군 원북면 옥파로 1059-16,,,
바다와펜션,강원특별자치도 강릉시 사천면 해안로 1081,,,
바다정원펜션,인천광역시 옹진군 영흥면 선재로170번안길 42-22,,,
바다정원펜션,경상남도 사천시 서포면 토끼로 245-41,,,
바다추억,경상남도 거제시 동부면 고촌길 29,,,
바다펜션,충청남도 태안군 소원면 송의로 745,,,
바다풍경펜션도시어부,경상남도 남해군 미조면 동부대로14번길 27-7,,,
바다하우스,제주특별자치도 제주시 애월읍 애월해안로 218,,,
바다해호텔,제주특별자치도 서귀포시 천지연로 3-1,,,
바다햇살고운집,충청남도 태안군 안면읍 방포1길 40-19,,,
바다향기,경상남도 통영시 광도면 죽림해안로 36,,,
바다향기펜션,경기도 화성시 서신면 해안길 144,,,
바다향기펜션,강원특별자치도 속초시 해오름로 13,,,
바닷가모텔,전라남도 해남군 송지면 땅끝해안로 1354-12,,,
바닷가모텔,강원특별자치도 양양군 강현면 해맞이길 8-17,,,
바닷가의추억,전라북도 부안군 변산면 궁항영상길 38,,,
바닷가하얀집,경상남도 통영시 도산면 도산일주로 1138,,,
바닷길풍경펜션,충청남도 태안군 남면 몽대로 464,,,
바람아래관광농원,충청남도 태안군 대야로 13-6,,,
바람의 바다 펜션,전라남도 무안군 현경면 신정길 101,,,
바람의언덕 리조트,경상남도 거제시 남부면 해금강로 132,,,
바론드 파리,서울특별시 서대문구 연세로2나길 8,,,
바우펜션,경상남도 거제시 일운면 거제대로 2109,,,
바위샘펜션,강원특별자치도 철원군 갈말읍 두루미로 244,,,
바투 스테이,서울특별시 마포구 연남로1길 67-5,,,
박정우가옥,경상북도 영주시 문수면 무섬로234번길 11-17,,,
박진사고택,경상남도 고성군 개천면 청광6길 25-12,,,
반도관광호텔,인천광역시 계양구 계양문화로17번길 8,,,
반디빌리지,경기도 가평군 묵안로 287,,,
반얀트리 클럽 앤 스파 서울,서울특별시 중구 장충단로 60,,,
발렌타인 모텔,경상남도 통영시 안개1길 19,,,
발렌타인,경상북도 경주시 보문로 465-28,,,
발렌타인모텔,충청북도 충주시 동량면 동산로 54,,,
발렌타인애견펜션,강원특별자치도 양양군 손양면 남대천로 251-117,,,
발렌타인호텔,경기도 고양시 일산서구 일현로41번길 8-24,,,
발리관광호텔,서울특별시 강동구 풍성로 210,,,
발리모텔,충청남도 보령시 해수욕장3길 11-5,,,
발리펜션,전라북도 부안군 변산면 지서로 185,,,
밧개오션텔,충청남도 태안군 안면읍 해안관광로 248,,,
방가방가게스트하우스(풍경집),부산광역시 사하구 감내1로224번길 7,,,
방방게스트하우스,경기도 수원시 팔달구 창룡대로41번길 16,,,
방태산황토펜션,강원특별자치도 인제군 기린면 방태산길 119,,,
배내골 걸리버 펜션,울산광역시 울주군 상북면 배내로 1013-27,,,
배내의아침,경상남도 양산시 원동면 어실로 1425,,,
배쟁이펜션,경상남도 통영시 용남면 기호바깥길 7-31,,,
백궁펜션,경기도 포천시 신북면 청신로1059번길 17,,,
백년한옥,전라북도 전주시 완산구 기린대로 74-9,,,
백두대간 약초나라,강원특별자치도 정선군 임계면 눈꽃마을길 178-37,,,
백무산장 황토방 펜션,경상남도 함양군 마천면 백무동로 321,,,
백미응서재,경기도 화성시 서신면 밸미길 84,,,
백불고택,대구광역시 동구 옻골로 195-5,,,
백암스프링스호텔,경상북도 울진군 온천로 90 백암스프링스호텔,,,
백양관광호텔,전라남도 장성군 북하면 백양로 941,,,
백운모텔,전라남도 여수시 공화남2길 8-1,,,
백운펜션,전라남도 광양시 옥룡면 묵방길 30-25,,,
백운호텔,경상북도 성주군 수륜면 성주가야산로 795-6,,,
백이모텔,충청남도 서천군 서면 부사로 239,,,
백조의호수,충청남도 태안군 안면읍 라암로 5,,,
백패커스인여수,전라남도 여수시 공화남2길 14,,,
백패커스홈,제주특별자치도 서귀포시 중정로 24-7,,,
백학자유로리조트,경기도 연천군 노아로491번길 283,,,
백합펜션,충청남도 태안군 남면 안면대로 1296-47,,,
백희,전라북도 전주시 완산구 어진길 94-6,,,
버킹검모텔,경기도 안성시 삼죽면 삼죽로 16,,,
벌교소형관광호텔,전라남도 보성군 벌교읍 신정길 4-41,,,
베네치아 모텔,경기도 용인시 처인구 양지면 남평로 73-6,,,
베니스모텔,전라남도 목포시 북항로149번길 8,,,
베니스펜션,강원특별자치도 평창군 봉평면 흥정계곡길 130,,,
베니키아 KCP호텔,강원특별자치도 양구군 양구읍 파로호로 993-19,,,
베니키아 노블 호텔,서울특별시 종로구 율곡로6길 13-3 노블호텔,,,
베니키아 산과바다 주문진리조트,강원특별자치도 강릉시 주문진읍 해안로 2070,,,
베니키아 서울 호텔,서울특별시 강서구 화곡로68길 116,,,
베니키아 센트럴 호텔,경상남도 통영시 광도면 춘원2로 49-20,,,
베니키아 스위스로젠 호텔 (경주),경상북도 경주시 보문로 465-37,,,
베니키아 월미도 더블리스 호텔,인천광역시 중구 월미로 266,,,
베니키아 전주한성 호텔,전라북도 전주시 완산구 전주객사5길 43-3,,,
베니키아 중문호텔,제주특별자치도 서귀포시 천제연로 166,,,
베니키아 천안호텔,충청남도 천안시 서북구 양지21길 42,,,
베니키아 테크노밸리 호텔,대전광역시 유성구 테크노중앙로 57,,,
베니키아 프리미어 동해보양온천 컨벤션호텔,강원특별자치도 동해시 동해대로 6285,,,
베니키아 프리미어 마리안느호텔,부산광역시 해운대구 해운대해변로 310,,,
베니키아 프리미어 여의도 호텔,서울특별시 영등포구 영등포로 389,,,
베니키아 프리미어 해운대 호텔,부산광역시 해운대구 해운대해변로 317,,,
베니키아 프리미어 호텔 베르누이,서울특별시 구로구 경인로 229,,,
베니키아 호텔 비즈인,강원특별자치도 원주시 만대로 7-1,,,
베니키아 호텔 산과 바다 대포항,강원특별자치도 속초시 동해대로 3691,,,
베니키아 호텔 산과바다 양양,강원특별자치도 양양군 강현면 동해대로 3393,,,
베니키아 호텔 제주,제주특별자치도 제주시 애월읍 애월해안로 554-10,,,
베니키아 호텔 포항,경상북도 포항시 남구 중앙로 128,,,
베니키아 홈 더 제주리조트,제주특별자치도 제주시 한림읍 협재로 226,,,
베니키아더에이치호텔,경기도 화성시 남양읍 남양리,,,
베니키아호텔 여수,전라남도 여수시 시청서6길 19,,,
베리온리조트,강원특별자치도 평창군 봉평면 평온길 14-13,,,
베리온리조트1,강원특별자치도 평창군 봉평면 평온길 14-13,,,
베리온리조트2,강원특별자치도 평창군 봉평면 평온길 14-13,,,
베스트루이스해밀턴호텔 창원점,경상남도 창원시 성산구 마디미로70번길 10,,,
베스트세븐 호텔,광주광역시 광산구 무진대로212번길 14-19,,,
베스트웨스턴 군산호텔,전라북도 군산시 새만금북로 435,,,
베스트웨스턴 프리미어 강남호텔,서울특별시 강남구 봉은사로 139,,,
베스트웨스턴 프리미어 서울가든호텔,서울특별시 마포구 마포대로 58,,,
베스트웨스턴 프리미어 인천 에어포트 호텔,인천광역시 중구 공항로424번길 48-27,,,
베스트웨스턴 플러스 호텔세종(베스트웨스턴 플러스),세종특별자치시 도움1로 7,,,
베스트웨스턴 하버파크호텔,인천광역시 중구 제물량로 217,,,
베스트웨스턴 해운대호텔,부산광역시 해운대구 구남로 42,,,
베스트웨스턴플러스전주호텔,전라북도 전주시 완산구 현무1길 41,,,
베아트리체 펜션,경기도 양평군 용문면 화전로 318-32,,,
베어스타운리조트 콘도미니엄,경기도 포천시 내촌면 금강로2536번길 27,,,
베이몬드호텔,부산광역시 해운대구 해운대해변로209번가길 27,,,
베이브리즈가족호텔,충청남도 태안군 소원면 만리포2길 235-9,,,
베이하운드호텔,부산광역시 영도구 태종로65번길 11 (대교동1가),,,
베이힐풀앤빌라,제주특별자치도 서귀포시 예래로 424,,,
벤처 비즈니스 호텔(유한회사 벤처),광주광역시 서구 상무중앙로38번길 5-6,,,
벤치하우스 펜션,강원특별자치도 평창군 봉평면 흥정계곡1길 35-6,,,
벤티모,제주특별자치도 제주시 연삼로 14,,,
벨라지오 관광호텔,경기도 시흥시 연성로13번길 4,,,
벨루스로즈펜션,경상북도 경주시 북군길 107-19,,,
벨뷰펜션,경기도 양평군 용문면 학골길 21,,,
벨호텔,경기도 화성시 큰재봉길 31-15,,,
별 따러 가자,강원특별자치도 평창군 봉평면 봉평북로 178-21,,,
별궁,충청남도 태안군 원이로 2492,,,
별궁모텔,경상남도 함양군 함양읍 동위천1길 5,,,
별동산달빛아래,경상북도 청송군 파천면 송소고택길 45-12,,,
별무리펜션,강원특별자치도 횡성군 둔내면 용현로 466-12,,,
별무인호텔,강원특별자치도 원주시 지정면 보통로 569-16,,,
별바라기집,전라남도 강진군 달빛한옥길 46,,,
별비내리는마을펜션,강원특별자치도 철원군 갈말읍 직탕길 26,,,
별빛나루 펜션,강원특별자치도 평창군 평창읍 뇌운계곡로 401,,,
별빛여정펜션,경상북도 경주시 북군길 63,,,
별소네펜션,경기도 가평군 설악면 묵안로 607,,,
별아래한옥,경상북도 안동시 임하면 인덕길 86,,,
별이든 샘 펜션,강원특별자치도 철원군 동송읍 창동로 2297,,,
별자리,전라북도 전주시 완산구 최명희길 26-17,,,
별자리 호스텔,인천광역시 중구 선녀바위로55번길 18,,,
별자리펜션,경상남도 통영시 산양읍 산양중앙로 201,,,
별장아원,인천광역시 강화군 내가면 고비고개로743번길 47-7,,,
별주부관광팬션(비토섬별주부관광펜션),경상남도 사천시 서포면 토끼로 245-49,,,
별헤는밤,강원특별자치도 철원군 동송읍 담터길 164,,,
별헤는밤,강원특별자치도 평창군 봉평면 무이진등길 77-15,,,
병암고택,경상북도 영양군 석보면 두들마을길 100,,,
보궁민박,강원특별자치도 평창군 진부면 오대산3길 47,,,
보금자리,전라남도 강진군 달빛한옥길 55,,,
보노펜션,강원특별자치도 양양군 손양면 선사유적로 240-29,,,
보람게스트하우스,부산광역시 동래구 쇠미로 37,,,
보령 베이스리조트(대천웨스토피아콘도),충청남도 보령시 옥마벚길 10,,,
보리네민박,강원특별자치도 인제군 인제읍 자작나무숲길 1061-2,,,
보리수 자수 숙박,전라북도 전주시 완산구 은행로 93-5,,,
보물섬펜션,제주특별자치도 서귀포시 성산읍 한도로242번길 10-11,,,
보보스모텔,인천광역시 연수구 능허대로104번길 59,,,
보보스모텔,서울특별시 영등포구 국회대로54길 41-18,,,
보성 그린티하우스,전라남도 보성군 득량면 개울고개길 246-18,,,
보성골망태펜션,전라남도 보성군 보성읍 노산길 5-56,,,
보성관광모텔,전라남도 보성군 보성읍 현충로 6,,,
보성군 해바라기 펜션,전라남도 보성군 보성읍 녹차로 899,,,
보성다비치콘도,전라남도 보성군 회천면 충의로 36,,,
보이저펜션,강원특별자치도 강릉시 신리천로 1219-3,,,
복골온천펜션,강원특별자치도 양양군 강현면 복골길201번길 58,,,
본펜션,경기도 양평군 서종면 화서로 706-44,,,
봄스테이,강원특별자치도 춘천시 남춘로36번길 4,,,
봄여름가을겨울,강원특별자치도 평창군 봉평면 거품소길 269,,,
봉쥬르펜션,강원특별자치도 평창군 봉평면 석이바우길 92-34,,,
봉평별빛펜션,강원특별자치도 평창군 봉평면 팔송로 208-7,,,
봉화정자문화생활관,경상북도 봉화군 부랭이길 88 봉화군시설관리사업소,,,
봉황재 한옥 게스트하우스,충청남도 공주시 큰샘3길 8,,,
부경당,전라북도 전주시 완산구 한지길 99-5,,,
부곡 로얄관광호텔,경상남도 창녕군 온천중앙로 3 로얄관광호텔,,,
부곡스파디움따오기호텔,경상남도 창녕군 부곡면 온천중앙로 42,,,
부산 비치 관광호텔,부산광역시 서구 등대로 113,,,
부산관광호텔,부산광역시 중구 광복로97번길 23,,,
부산도시공사 아르피나,부산광역시 해운대구 해운대해변로 35,,,
부산뷰호텔,부산광역시 동구 중앙대로196번길 16-10,,,
부산비즈니스호텔,부산광역시 부산진구 부전로 67,,,
부산센트럴호텔,부산광역시 연제구 중앙대로 1122,,,
부산인모텔,부산광역시 동구 중앙대로214번길 7-7,,,
부성파크,강원특별자치도 평창군 봉평면 안흥동1길 18-4,,,
